id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Vertex Impress Mars  Black                                  ,   7155.00,     5.5,    1.30,     8.0,    1024,      13,    3000,     267
Neffos Y5  Dark Grey                                        ,   7490.00,     5.0,    1.30,    16.0,    2048,       8,    2130,     293
BQ 5070 Magic LTE  Black                                    ,   6990.00,     5.0,    1.25,    16.0,    2048,      13,    2000,     293
Huawei Honor 8 64GB  Pink                                   ,  24990.00,     5.2,    2.30,    64.0,    4096,      12,    3000,     423
Wileyfox Swift 2X  Champagne Gold                           ,  12990.00,     5.2,    1.40,    32.0,    3072,      16,    3010,     423
Xiaomi Redmi 4A (16GB)  Gold                                ,   8990.00,     5.0,    1.40,    16.0,    2048,      13,    3120,     293
Samsung Galaxy J1 Mini Prime SM-J106F  Gold                 ,   5990.00,     4.0,    1.50,     8.0,    1024,       5,    1500,     233
Ark Benefit S503 Max  Gold                                  ,   3990.00,     5.0,    1.30,     8.0,     512,       5,    2000,     220
RugGear RG 160  Black                                       ,   6990.00,     2.4,    1.00,     0.5,     256,       0,    1800,     166
Senseit R450  Gray                                          ,  10924.00,     4.5,    1.00,     8.0,    1024,       8,    3000,     217
Huawei Honor 9  Black                                       ,  26990.00,     5.2,    2.40,    64.0,    4096,      12,    3200,     427
Neffos Y5  Pearl White                                      ,   7490.00,     5.0,    1.30,    16.0,    2048,       8,    2130,     293
BQ 5070 Magic LTE  Brown                                    ,   6990.00,     5.0,    1.25,    16.0,    2048,      13,    2000,     293
Huawei Honor 8 Lite  Black                                  ,  14990.00,     5.2,    2.10,    32.0,    4096,      12,    3000,     423
Wileyfox Swift 2X  Midnight Blue                            ,  12990.00,     5.2,    1.40,    32.0,    3072,      16,    3010,     423
Xiaomi Mi 5S Plus 64GB  Grey                                ,  28990.00,     5.7,    2.35,    64.0,    4096,      13,    3800,     386
Samsung Galaxy J3 (2017) SM-J330F  Gold                     ,  12990.00,     5.0,    1.40,    16.0,    2048,      13,    2400,     293
Xiaomi Mi 5S Plus 64GB  Gold                                ,  28990.00,     5.7,    2.35,    64.0,    4096,      13,    3800,     386
HTC U Ultra 64GB  Sapphire Blue                             ,  36990.00,     5.7,    2.15,    64.0,    4096,      12,    3000,     515
Alcatel 5023F Pixi 4 Plus Power  Pure White                 ,   6490.00,     5.5,    1.30,     8.0,    1024,       8,    5000,     267
Huawei Y5 2017  Gold                                        ,   7990.00,     5.0,    1.45,    16.0,    2048,       8,    3000,     293
Neffos Y50  Dark Grey                                       ,   4790.00,     4.5,    1.10,     8.0,    1024,       5,    2020,     217
BQ 5070 Magic LTE  Pearl White                              ,   6990.00,     5.0,    1.25,    16.0,    2048,      13,    2000,     293
Huawei Honor 8 Lite  Gold                                   ,  14990.00,     5.2,    2.10,    32.0,    4096,      12,    3000,     423
ASUS ZenFone Go ZB500KL 32GB  Silver                        ,   8990.00,     5.0,    1.00,    32.0,    2048,      13,    2600,     293
Huawei P10 Plus  Blue                                       ,  40990.40,     5.5,    2.40,    64.0,    4096,      20,    3750,     534
Samsung Galaxy J3 (2017) SM-J330F  Black                    ,  12990.00,     5.0,    1.40,    16.0,    2048,      13,    2400,     293
Samsung SM-J730F Galaxy J7 (2017)  Blue                     ,  17990.00,     5.5,    1.90,    16.0,    2048,      13,    3600,     400
Meizu M5c 16GB  Blue                                        ,   7590.00,     5.0,    1.30,    16.0,    2048,       8,    3000,     293
Alcatel 5023F Pixi 4 Plus Power  Volcano Black              ,   6490.00,     5.5,    1.30,     8.0,    1024,       8,    5000,     267
Huawei Nova 2 Plus  Blue                                    ,  25990.00,     5.5,    2.36,    64.0,    4096,      12,    3340,     400
Neffos Y50  Pearl White                                     ,   4790.00,     4.5,    1.10,     8.0,    1024,       5,    2020,     217
BQ 5071 Belief  Dark Blue                                   ,   5490.00,     5.0,    1.30,     8.0,    1024,       8,    3750,     293
Huawei Honor 8 Lite  White                                  ,  14990.00,     5.2,    2.10,    32.0,    4096,      12,    3000,     423
Huawei Nova LTE (CAN-L11)  Rose Gold                        ,  18590.00,     5.0,    2.00,    32.0,    3072,      12,    3020,     440
Huawei P10 Lite  White                                      ,  16990.40,     5.2,    2.10,    32.0,    3072,      12,    3000,     423
Samsung Galaxy J3 (2017) SM-J330F  Blue                     ,  12990.00,     5.0,    1.40,    16.0,    2048,      13,    2400,     293
Vertex Impress Action  Black Orange                         ,   8090.00,     4.0,    1.20,     8.0,    1024,       8,    2800,     233
Meizu M5c 16GB  Rose Gold                                   ,   8990.00,     5.0,    1.30,    16.0,    2048,       8,    3000,     293
Alcatel 7070X POP 4  Metal Gold                             ,  13597.00,     6.0,    1.80,    16.0,    2048,      13,    3500,     367
Huawei Nova Lite  Black                                     ,  11990.00,     5.0,    1.40,    16.0,    2048,      13,    3020,     293
Neffos Y50  Sunshine Yellow                                 ,   4790.00,     4.5,    1.10,     8.0,    1024,       5,    2020,     217
BQ 5071 Belief  Silver                                      ,   5490.00,     5.0,    1.30,     8.0,    1024,       8,    3750,     293
Huawei Honor 8 Pro  Black                                   ,  32188.50,     5.7,    2.40,    64.0,    6144,      12,    4000,     515
Huawei P10 Lite  Gold                                       ,  16990.40,     5.2,    2.10,    32.0,    3072,      12,    3000,     423
Samsung SM-J530F Galaxy J5 (2017)  Gold                     ,  17990.00,     5.2,    1.90,    16.0,    2048,      13,    3000,     282
Fly Cirrus 12 FS516  Red                                    ,   5990.00,     5.0,    1.30,     8.0,    1024,      13,    2600,     293
Vertex Impress Fit  Black                                   ,   2649.00,     4.0,    1.30,     4.0,     512,       3,    1500,     233
Meizu Pro 6 Plus 64GB  Silver White                         ,  29990.00,     5.7,    2.00,    64.0,    4096,      12,    3400,     515
Alcatel 7070X POP 4  Slate Black                            ,  14040.00,     6.0,    1.80,    16.0,    2048,      13,    3500,     367
Huawei NOVA Lite  Gold                                      ,  11990.00,     5.0,    1.40,    16.0,    2048,      13,    3020,     293
ASUS ZenFone 4 Selfie ZB553KL  Gold (90AX00L2-M01100)       ,  12990.00,     5.5,    1.40,    16.0,    2048,      13,    3000,     267
BQ 5505 Amsterdam  Black                                    ,   6290.00,     5.5,    1.30,     8.0,    1024,      13,    2500,     267
Huawei Honor 8 Pro  Blue                                    ,  32188.50,     5.7,    2.40,    64.0,    6144,      12,    4000,     515
Huawei P10 Premium  Blue                                    ,  36990.80,     5.1,    2.40,    64.0,    4096,      20,    3200,     431
Samsung SM-J530F Galaxy J5 (2017)  Black                    ,  17990.00,     5.2,    1.90,    16.0,    2048,      13,    3000,     282
Fly Cirrus 13 FS518  Midnight Blue                          ,   7090.00,     5.0,    1.45,    16.0,    2048,      13,    2400,     440
Vertex Impress Fortune  Gold                                ,   6190.00,     5.5,    1.30,    16.0,    1024,       8,    3200,     267
Samsung SM-J530F Galaxy J5 (2017)  Pink                     ,  17990.00,     5.2,    1.90,    16.0,    2048,      13,    3000,     282
Alcatel 9008D A3 XL  Grey Silver                            ,   7992.00,     6.0,    1.10,    16.0,    2048,      13,    3000,     244
Philips S318  Dark Grey                                     ,   8327.00,     5.0,    1.30,    16.0,    2048,       8,    2500,     293
Apple iPhone 7 32GB  Jet Black                              ,  42991.40,     4.7,    2.37,    32.0,    2048,      12,    1960,     325
BQ 5505 Amsterdam  Gold                                     ,   6290.00,     5.5,    1.30,     8.0,    1024,      13,    2500,     267
Huawei Honor 8 Pro  Gold                                    ,  32188.50,     5.7,    2.40,    64.0,    6144,      12,    4000,     515
Huawei P10 Premium  Black                                   ,  36990.80,     5.1,    2.40,    64.0,    4096,      20,    3200,     431
Samsung SM-J530F Galaxy J5 (2017)  Light Blue               ,  17990.00,     5.2,    1.90,    16.0,    2048,      13,    3000,     282
Huawei P9 Plus  Gold (VIE-L29)                              ,  33190.00,     5.5,    2.50,    64.0,    4096,      12,    3400,     400
Vertex Impress Fortune  Graphite                            ,   6190.00,     5.5,    1.30,    16.0,    1024,       8,    3200,     267
ZTE Blade A610 Plus  Gray                                   ,  12649.00,     5.5,    1.50,    16.0,    2048,      13,    5000,     400
Alcatel 9008D A3 XL  White Blue                             ,   7992.00,     6.0,    1.10,    16.0,    2048,      13,    3000,     244
Highscreen Easy Power  Black                                ,   7490.00,     5.0,    1.25,    16.0,    1024,       8,    8000,     293
Apple iPhone 7 Plus 32GB  Jet Black                         ,  50992.20,     5.5,    2.37,    32.0,    3072,      12,    2900,     400
BQ 5505 Amsterdam  Silver                                   ,   6290.00,     5.5,    1.30,     8.0,    1024,      13,    2500,     267
Elephone C1  Gold                                           ,   7190.00,     5.5,    1.30,    16.0,    2048,      13,    2850,     267
Ark Benefit S452  Black                                     ,   2789.00,     4.5,    1.20,     8.0,     512,       3,    1650,     217
Meizu M5c 16GB  Black                                       ,   8990.00,     5.0,    1.30,    16.0,    2048,       8,    3000,     293
Huawei Honor 9  Grey                                        ,  26990.00,     5.2,    2.40,    64.0,    4096,      12,    3200,     427
Vertex Impress Genius  Black                                ,   6190.00,     5.0,    1.25,     8.0,    1024,       8,    2300,     293
ZTE Blade V8  Black                                         ,  15289.30,     5.2,    1.40,    64.0,    4096,      13,    2730,     423
Philips S327  Royal Blue                                    ,   7990.00,     5.5,    1.30,     8.0,    1024,       8,    3000,     267
Highscreen Easy Power  Red                                  ,   7371.00,     5.0,    1.25,    16.0,    1024,       8,    8000,     293
BQ 5515 Wide LTE  Green                                     ,   6790.00,     5.5,    1.30,     8.0,    1024,      13,    2800,     267
Elephone R9  Blue                                           ,  16990.00,     5.5,    1.90,    64.0,    4096,      13,    3000,     400
Ark Benefit S453  Black                                     ,   2790.00,     4.5,    1.20,     8.0,     512,       3,    1650,     217
Prestigio Muze B3  Black                                    ,   4590.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     293
Highscreen Fest XL  Black                                   ,   9790.00,     5.5,    1.45,    16.0,    2048,      13,    3000,     267
Vertex Impress Genius  Gold                                 ,   5990.00,     5.0,    1.25,     8.0,    1024,       8,    2300,     293
ZTE Blade V8 Mini  Gold                                     ,  12990.00,     5.0,    1.40,    32.0,    3072,      13,    2800,     293
Philips Xenium V787+  Ebony                                 ,  14990.00,     5.0,    1.30,    32.0,    3072,      13,    5000,     440
Apple iPhone 8 64GB  Silver                                 ,  56990.00,     4.7,    2.40,    64.0,    2048,      12,    1821,     325
Neffos X1  Cloudy Grey                                      ,  10990.00,     5.0,    1.80,    16.0,    2048,      13,    2550,     293
Elephone S7  Black                                          ,  16190.00,     5.5,    2.10,    64.0,    4096,      13,    3000,     400
Ark Benefit M506  Black                                     ,   4299.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     293
Prestigio Muze G3 LTE  Black                                ,   4990.00,     5.0,    1.30,     8.0,    1024,       8,    2400,     293
HTC U11 64GB  Ice White                                     ,  39991.60,     5.5,    2.45,    64.0,    4096,      12,    3000,     534
Vertex Impress Groove  Gold                                 ,   4549.00,     5.0,    1.30,     8.0,    1024,       8,    2400,     293
ZTE Blade V8 Mini  Black                                    ,  12289.80,     5.0,    1.40,    32.0,    3072,      13,    2800,     293
Sony Xperia XA1  Gold                                       ,  21990.00,     5.0,    2.30,    32.0,    3072,      23,    2300,     293
Apple iPhone 8 64GB  Gold                                   ,  56990.00,     4.7,    2.40,    64.0,    2048,      12,    1821,     325
ASUS ZenFone Max 4 ZC520KL  Black (90AX00H1-M00380)         ,  12991.00,     5.2,    1.40,    16.0,    2048,      13,    4100,     282
Elephone S7  Blue                                           ,  16190.00,     5.5,    2.10,    64.0,    4096,      13,    3000,     400
Doogee Y6C  Black                                           ,   7890.00,     5.5,    1.30,    16.0,    2048,       8,    3200,     267
Prestigio Muze G3 LTE  Gold                                 ,   5390.00,     5.0,    1.30,     8.0,    1024,       8,    2400,     293
Micromax Bolt Mega Q397  Champagne                          ,   5990.00,     5.5,    1.40,    16.0,    1024,       8,    2650,     267
Vertex Impress InTouch  Black                               ,   7990.00,     5.0,    1.25,     8.0,    1024,      13,    2400,     293
ZTE Blade V8  Grey                                          ,  14990.00,     5.2,    1.40,    32.0,    3072,      13,    2730,     423
Sony Xperia XA1  Pink                                       ,  21990.00,     5.0,    2.30,    32.0,    3072,      23,    2300,     293
Apple iPhone 8 Plus 64GB  Space Gray                        ,  64990.00,     5.5,    2.40,    64.0,    3072,      12,    2675,     400
