id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Lenovo Sisley S90  Graphite Grey                            ,  11690.00,     5.0,    1.20,    32.0,    2048,      13,    2300,     293
Lenovo Vibe S1  White                                       ,  10890.00,     5.0,    1.70,    32.0,    3072,      13,    2500,     440
ASUS ZenFone Zoom ZX551ML  White (90AZ00X2-M00770)          ,  21541.80,     5.5,    2.50,   128.0,    4096,      13,    3000,     400
Sony Xperia X  Lime Gold                                    ,  23989.00,     5.0,    1.80,    32.0,    3072,      23,    2620,     440
Alcatel OT-5010D Pixi 4 (5.0)  Volcano Black                ,   3990.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Sony Xperia XA Ultra dual  Graphite Black                   ,  20989.50,     6.0,    2.00,    16.0,    3072,      21,    2700,     367
Apple iPhone 7 256GB  Gold                                  ,  54991.30,     4.7,    2.37,   256.0,    2048,      12,    1960,     325
Philips S326  Gray                                          ,   6490.00,     5.0,    1.50,     8.0,    1024,       8,    3000,     293
Meizu M3E  Gray Black                                       ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3100,     400
ZTE Blade Z10  Pink                                         ,   9711.00,     5.2,    1.40,    16.0,    2048,      13,    2540,     282
Xiaomi Mi 5S 32GB  Silver (MI5S32GBSV)                      ,  25390.00,     5.2,    2.15,    32.0,    4096,      12,    3200,     427
ASUS ZenFone 3 Ultra ZU680KL  Pink Gold (90AK0013-M00360)   ,  41390.00,     6.8,    1.80,    64.0,    4096,      23,    4600,     323
HTC U Play 32GB  Brilliant Black                            ,  19988.90,     5.2,    2.00,    32.0,    3072,      16,    2500,     423
Meizu M5 Note 16GB  Gray Black                              ,  14990.30,     5.5,    1.80,    16.0,    3072,      13,    4000,     400
ASUS ZenFone 2 Laser ZE550KL 16GB  Black (90AZ00L1-M00470)  ,  10642.50,     5.5,    1.20,    16.0,    2048,      13,    3000,     267
ZTE Axon Mini  Gold                                         ,  19390.00,     5.2,    1.50,    32.0,    3072,      13,    2800,     423
